nome,idade,perfil_risco,propensao_esg,faixa_propensao,categoria_produto,vence_em_dias,produtos_esg,valor_em_caixa,Renda Fixa,Multimercado,ETF,Renda Variável,Caixa
Cliente 223,23,Moderado,0.39,Baixa,Renda Fixa,95,0,8470.78,24248.1,30103.73,22472.24,14705.15,8470.78
Cliente 224,45,Moderado,0.96,Alta,Caixa,21,0,17547.58,10362.55,47610.58,6500.75,17978.55,17547.58
Cliente 225,45,Moderado,0.25,Baixa,Multimercado,11,1,15026.83,43698.85,1062.58,30575.86,9635.89,15026.83
Cliente 226,61,Moderado,0.13,Baixa,Renda Variável,65,0,39878.31,2920.05,610.28,21066.63,35524.74,39878.31
Cliente 227,61,Moderado,0.42,Média,Multimercado,28,0,28601.7,19516.54,22502.53,11850.66,17528.57,28601.7
Cliente 228,37,Moderado,0.79,Alta,Caixa,145,1,1541.21,47376.15,18431.7,17785.09,14865.85,1541.21
Cliente 229,47,Conservador,0.58,Média,Renda Variável,21,1,25915.33,8615.21,51491.6,10782.64,3195.22,25915.33
Cliente 230,79,Conservador,0.68,Média,Renda Variável,17,1,18469.8,15611.62,52725.4,9452.96,3740.22,18469.8
Cliente 231,28,Moderado,0.19,Baixa,ETF,139,1,54232.34,17543.25,55.66,15875.83,12292.92,54232.34
Cliente 232,75,Moderado,0.62,Média,Renda Fixa,168,1,27542.96,38223.04,29784.6,2235.02,2214.38,27542.96
Cliente 233,72,Moderado,0.32,Baixa,ETF,78,0,23804.37,45695.35,19132.61,1990.98,9376.69,23804.37
Cliente 234,45,Agressivo,0.83,Alta,Caixa,34,0,651.37,1.54,62484.09,22127.24,14735.77,651.37
Cliente 235,42,Moderado,0.63,Média,Renda Variável,88,1,30939.96,23926.2,2943.78,26360.54,15829.52,30939.96
Cliente 236,56,Conservador,0.2,Baixa,ETF,156,1,84945.27,1940.03,7353.57,1976.15,3784.99,84945.27
Cliente 237,79,Agressivo,0.06,Baixa,Renda Fixa,80,1,3795.52,19829.26,51950.44,8378.48,16046.29,3795.52
Cliente 238,50,Moderado,0.04,Baixa,ETF,107,1,26439.95,29492.53,30285.59,10004.94,3776.98,26439.95
Cliente 239,18,Agressivo,0.37,Baixa,ETF,172,0,61115.98,9920.98,3462.62,19023.43,6476.99,61115.98
Cliente 240,74,Moderado,0.27,Baixa,ETF,41,1,45439.65,9778.14,1231.86,15848.62,27701.73,45439.65
Cliente 241,44,Agressivo,0.65,Média,ETF,38,0,3575.96,4545.05,25878.79,35013.77,30986.44,3575.96
Cliente 242,79,Agressivo,0.5,Média,Multimercado,170,0,36776.24,18887.86,16853.59,5708.53,21773.78,36776.24
Cliente 243,74,Agressivo,0.27,Baixa,ETF,51,1,45095.53,23098.81,5745.64,7268.53,18791.49,45095.53
Cliente 244,69,Agressivo,0.15,Baixa,Renda Variável,170,0,10408.64,19349.82,669.82,20577.82,48993.9,10408.64
Cliente 245,30,Conservador,0.13,Baixa,Renda Fixa,115,1,33542.84,55869.08,487.83,8749.88,1350.37,33542.84
Cliente 246,58,Conservador,0.86,Alta,Renda Fixa,172,0,8230.54,17619.48,47531.39,20080.28,6538.31,8230.54
Cliente 247,20,Agressivo,0.24,Baixa,Renda Fixa,163,1,15742.0,9582.05,21704.47,10617.99,42353.49,15742.0
Cliente 248,56,Moderado,0.65,Média,Caixa,172,0,5224.29,2106.55,12798.75,72703.25,7167.16,5224.29
Cliente 249,23,Agressivo,0.81,Alta,Renda Variável,165,1,14160.72,8891.02,62878.83,2.76,14066.68,14160.72
Cliente 250,25,Conservador,0.61,Média,Multimercado,134,1,1865.05,19087.37,32050.52,11883.89,35113.18,1865.05
Cliente 251,44,Moderado,0.86,Alta,Multimercado,3,0,20456.6,35865.68,21119.39,16978.03,5580.3,20456.6
Cliente 252,26,Moderado,0.39,Baixa,Caixa,34,1,15573.72,33335.43,41276.81,8336.96,1477.09,15573.72
Cliente 253,79,Moderado,0.96,Alta,Renda Fixa,145,1,22293.96,11325.23,43409.02,20764.76,2207.03,22293.96
Cliente 254,54,Moderado,0.13,Baixa,Renda Fixa,38,1,42254.77,16398.92,7226.34,7662.89,26457.08,42254.77
Cliente 255,50,Moderado,0.1,Baixa,Multimercado,107,1,16310.41,16570.05,27362.17,30096.28,9661.09,16310.41
Cliente 256,68,Moderado,0.66,Média,Multimercado,89,0,2018.15,26811.51,23254.4,4931.1,42984.84,2018.15
Cliente 257,59,Moderado,0.94,Alta,Multimercado,94,1,15570.23,9678.0,12306.94,22709.55,39735.28,15570.23
Cliente 258,61,Moderado,0.81,Alta,ETF,166,0,32731.22,29916.34,12144.53,7146.1,18061.8,32731.22
Cliente 259,41,Agressivo,0.08,Baixa,Multimercado,179,0,11997.26,57346.48,359.82,7120.28,23176.16,11997.26
Cliente 260,32,Conservador,0.28,Baixa,Caixa,160,1,11341.49,11255.52,1316.91,21473.67,54612.41,11341.49
Cliente 261,76,Moderado,0.93,Alta,Caixa,21,1,8999.26,1024.19,35485.44,36170.35,18320.76,8999.26
Cliente 262,71,Moderado,0.25,Baixa,Renda Variável,178,0,9334.02,30520.85,17425.96,26785.77,15933.39,9334.02
Cliente 263,49,Agressivo,0.78,Alta,Caixa,73,0,27303.8,11463.19,374.25,30169.52,30689.23,27303.8
Cliente 264,49,Moderado,0.83,Alta,Renda Variável,28,0,9496.94,51148.33,3888.9,27158.16,8307.67,9496.94
Cliente 265,41,Agressivo,0.5,Média,Multimercado,83,0,25230.87,10692.58,5705.75,22640.96,35729.84,25230.87
Cliente 266,58,Agressivo,0.39,Baixa,Renda Fixa,59,1,32991.28,27847.58,2531.38,2917.3,33712.47,32991.28
Cliente 267,69,Moderado,0.45,Média,Renda Fixa,171,0,5665.56,88856.08,1380.27,2852.02,1246.06,5665.56
Cliente 268,66,Conservador,0.23,Baixa,Renda Fixa,153,1,52532.01,7623.95,16912.36,11512.97,11418.71,52532.01
Cliente 269,79,Moderado,0.89,Alta,ETF,24,1,16089.04,10200.03,3937.26,6186.98,63586.69,16089.04
Cliente 270,66,Conservador,0.45,Média,Renda Variável,178,1,4264.02,60276.68,2188.74,7712.24,25558.32,4264.02
Cliente 271,75,Moderado,0.88,Alta,Renda Fixa,66,1,18814.49,24361.44,30978.37,24726.67,1119.02,18814.49
Cliente 272,69,Agressivo,0.11,Baixa,Renda Fixa,147,1,8028.92,27159.95,38730.66,11249.72,14830.74,8028.92
Cliente 273,29,Conservador,0.99,Alta,Renda Variável,113,0,15501.32,36927.7,8949.32,34041.96,4579.7,15501.32
Cliente 274,79,Conservador,0.44,Média,Caixa,171,1,22542.7,4681.41,16578.53,53204.73,2992.62,22542.7
Cliente 275,56,Conservador,0.05,Baixa,Multimercado,75,0,24072.43,7643.76,7904.17,57387.31,2992.33,24072.43
Cliente 276,19,Agressivo,0.04,Baixa,Renda Fixa,36,1,2421.37,10950.39,45237.4,16008.83,25382.01,2421.37
Cliente 277,20,Moderado,0.75,Média,Renda Variável,53,1,16144.64,36990.03,17692.39,10309.3,18863.65,16144.64
Cliente 278,66,Conservador,0.66,Média,Caixa,25,1,8268.89,6949.82,53834.16,24119.28,6827.86,8268.89
Cliente 279,54,Agressivo,0.8,Alta,ETF,150,1,47327.75,4920.75,18968.77,15776.19,13006.54,47327.75
Cliente 280,66,Agressivo,0.11,Baixa,ETF,44,1,21165.99,14688.72,29878.79,28426.13,5840.37,21165.99
Cliente 281,73,Conservador,0.04,Baixa,Renda Variável,90,1,42432.89,6605.62,37972.91,714.79,12273.8,42432.89
Cliente 282,34,Moderado,0.51,Média,Caixa,76,0,22243.76,12400.85,42193.41,16430.24,6731.74,22243.76
Cliente 283,76,Agressivo,0.39,Baixa,Renda Fixa,57,1,27469.87,5445.86,11541.57,20696.38,34846.32,27469.87
Cliente 284,66,Moderado,0.46,Média,Multimercado,167,0,10426.3,14591.12,64832.13,7548.89,2601.56,10426.3
Cliente 285,19,Conservador,0.99,Alta,Caixa,87,0,29532.12,7077.76,23560.82,3540.59,36288.71,29532.12
Cliente 286,19,Conservador,0.97,Alta,Multimercado,88,1,5287.1,11918.25,41863.67,13132.98,27798.0,5287.1
Cliente 287,45,Conservador,0.94,Alta,Renda Fixa,41,0,35091.53,13056.04,23873.73,8068.35,19910.36,35091.53
Cliente 288,71,Agressivo,0.78,Alta,Caixa,133,0,19076.49,5991.48,6658.07,52095.26,16178.7,19076.49
Cliente 289,40,Agressivo,0.35,Baixa,Renda Fixa,17,1,10043.92,29619.73,50908.16,4533.28,4894.91,10043.92
Cliente 290,54,Conservador,0.41,Média,Caixa,136,1,51434.89,380.13,11542.76,23982.22,12659.99,51434.89
Cliente 291,49,Conservador,0.55,Média,Renda Variável,78,1,10813.04,47581.19,358.59,2943.31,38303.88,10813.04
Cliente 292,50,Conservador,0.83,Alta,Renda Fixa,7,0,4289.33,39843.14,31078.07,351.06,24438.4,4289.33
Cliente 293,18,Conservador,0.07,Baixa,Caixa,41,0,7951.3,1609.85,8381.03,72617.8,9440.01,7951.3
Cliente 294,36,Agressivo,0.42,Média,Multimercado,55,1,1116.65,6382.08,14617.06,11973.35,65910.86,1116.65
Cliente 295,79,Moderado,0.08,Baixa,ETF,88,0,4455.59,2900.33,46258.22,12784.65,33601.21,4455.59
Cliente 296,19,Moderado,0.51,Média,Renda Variável,105,0,20317.82,52409.7,7776.2,2178.07,17318.21,20317.82
Cliente 297,70,Conservador,0.9,Alta,ETF,58,1,33864.92,17388.96,9268.9,13812.22,25665.0,33864.92
Cliente 298,61,Moderado,0.78,Alta,Renda Fixa,34,0,9385.63,6364.53,4494.56,31047.91,48707.37,9385.63
Cliente 299,43,Moderado,0.23,Baixa,ETF,71,1,40501.38,4034.54,27995.71,26791.99,676.38,40501.38
Cliente 300,49,Agressivo,0.98,Alta,ETF,9,1,30404.06,5922.41,25707.42,32369.54,5596.57,30404.06
Cliente 301,23,Conservador,0.67,Média,Renda Fixa,173,1,7696.05,6187.83,46987.98,1985.18,37142.96,7696.05
Cliente 302,49,Agressivo,0.01,Baixa,Caixa,77,0,16687.19,22514.1,23893.76,31272.5,5632.46,16687.19
Cliente 303,72,Moderado,0.26,Baixa,Renda Variável,111,1,22005.58,40094.59,5250.72,14296.65,18352.45,22005.58
Cliente 304,21,Conservador,0.26,Baixa,Renda Variável,34,0,1010.78,18069.77,19215.57,50937.73,10766.15,1010.78
Cliente 305,72,Moderado,0.07,Baixa,Renda Variável,86,0,3611.23,14958.95,5396.79,28883.45,47149.58,3611.23
Cliente 306,28,Agressivo,0.96,Alta,ETF,126,0,16476.52,32822.84,21571.53,19311.74,9817.38,16476.52
Cliente 307,73,Agressivo,0.48,Média,Renda Variável,13,0,2025.54,11236.15,32086.96,32177.83,22473.52,2025.54
Cliente 308,76,Moderado,0.9,Alta,Multimercado,49,1,3375.45,27529.4,57481.82,3447.42,8165.9,3375.45
Cliente 309,34,Moderado,0.32,Baixa,ETF,46,0,13108.9,28568.31,635.06,42755.06,14932.67,13108.9
Cliente 310,55,Agressivo,0.13,Baixa,Renda Fixa,12,0,429.5,14121.69,59559.12,19911.22,5978.46,429.5
Cliente 311,41,Moderado,0.47,Média,Caixa,158,1,12430.3,3920.26,20023.54,50857.76,12768.14,12430.3
Cliente 312,22,Conservador,0.11,Baixa,Renda Fixa,55,1,1442.83,13421.68,2820.19,76868.38,5446.92,1442.83
Cliente 313,69,Agressivo,0.49,Média,Multimercado,127,0,37666.46,11772.48,12038.52,33742.42,4780.14,37666.46
Cliente 314,51,Conservador,0.92,Alta,Renda Fixa,68,0,25311.94,3459.33,7589.32,1104.05,62535.36,25311.94
Cliente 315,23,Moderado,0.52,Média,Renda Fixa,65,0,14333.19,66963.13,11180.19,1487.21,6036.29,14333.19
Cliente 316,39,Conservador,0.62,Média,ETF,109,0,28056.44,16199.33,14441.14,6632.77,34670.32,28056.44
Cliente 317,28,Conservador,0.16,Baixa,Multimercado,26,0,13455.33,24118.79,49501.24,10548.14,2376.5,13455.33
Cliente 318,65,Moderado,0.04,Baixa,Multimercado,86,1,37000.87,20175.56,18378.78,3956.46,20488.32,37000.87
Cliente 319,33,Agressivo,0.11,Baixa,Caixa,170,0,14979.49,7556.7,1426.06,17845.69,58192.07,14979.49
Cliente 320,50,Conservador,0.6,Média,Multimercado,57,1,502.41,26304.39,32717.11,23122.29,17353.8,502.41
Cliente 321,26,Conservador,0.1,Baixa,Renda Fixa,67,1,2556.33,40206.21,5904.3,38769.55,12563.61,2556.33
Cliente 322,77,Conservador,0.38,Baixa,Renda Variável,41,0,35402.11,9198.52,35942.98,5619.9,13836.49,35402.11
Cliente 323,76,Moderado,0.55,Média,Renda Fixa,112,1,65247.55,1761.39,249.96,31777.29,963.81,65247.55
Cliente 324,23,Agressivo,0.39,Baixa,Caixa,21,0,13691.56,41656.61,11043.16,30184.9,3423.77,13691.56
Cliente 325,33,Moderado,0.16,Baixa,Multimercado,121,0,46345.04,35625.88,10265.31,6056.63,1707.14,46345.04
Cliente 326,46,Moderado,0.27,Baixa,ETF,56,1,17828.28,5321.89,15789.97,26200.16,34859.7,17828.28
Cliente 327,20,Agressivo,0.93,Alta,Renda Fixa,178,0,3487.67,579.19,39506.8,1206.06,55220.28,3487.67
Cliente 328,37,Moderado,0.68,Média,Renda Variável,64,1,304.8,6491.78,44941.55,4231.83,44030.04,304.8
Cliente 329,77,Conservador,0.5,Média,Renda Variável,78,1,2400.47,29499.39,25921.86,18505.46,23672.82,2400.47
Cliente 330,76,Conservador,0.01,Baixa,Multimercado,177,0,37800.9,15223.62,16074.7,25297.29,5603.5,37800.9
Cliente 331,53,Moderado,0.99,Alta,Caixa,57,1,21578.58,11748.29,35098.68,21076.48,10497.97,21578.58
Cliente 332,36,Moderado,0.67,Média,Renda Variável,26,1,4463.38,29851.31,4719.54,3897.95,57067.82,4463.38
Cliente 333,43,Moderado,0.32,Baixa,Multimercado,54,1,21127.58,22903.7,20758.24,33085.72,2124.76,21127.58
Cliente 334,20,Agressivo,0.88,Alta,ETF,86,0,6468.17,1774.22,61327.37,7411.88,23018.36,6468.17
Cliente 335,36,Moderado,0.26,Baixa,Multimercado,42,0,11414.78,1834.86,32334.46,29022.59,25393.32,11414.78
Cliente 336,37,Moderado,0.54,Média,Multimercado,157,1,13356.31,23749.25,11417.03,15397.47,36079.93,13356.31
Cliente 337,49,Moderado,0.64,Média,ETF,55,1,17460.44,13072.96,4508.31,9039.49,55918.8,17460.44
Cliente 338,24,Moderado,0.22,Baixa,Multimercado,129,0,14931.64,28090.79,10618.55,40975.11,5383.91,14931.64
Cliente 339,69,Agressivo,0.98,Alta,Multimercado,73,0,664.29,3011.07,55663.84,10865.64,29795.15,664.29
Cliente 340,58,Moderado,0.75,Média,Renda Fixa,144,1,8168.05,48290.25,14135.93,25094.98,4310.8,8168.05
Cliente 341,50,Conservador,0.56,Média,Renda Fixa,16,0,10260.08,67446.19,169.24,18454.4,3670.09,10260.08
Cliente 342,57,Agressivo,0.18,Baixa,Caixa,151,1,15308.68,22051.12,22737.74,32732.56,7169.89,15308.68
Cliente 343,56,Moderado,0.05,Baixa,Renda Fixa,13,0,9823.14,18910.84,5377.78,4495.38,61392.85,9823.14
Cliente 344,35,Moderado,0.32,Baixa,Renda Variável,8,0,33749.84,4762.28,150.0,27200.4,34137.48,33749.84
Cliente 345,57,Moderado,0.75,Média,Renda Fixa,153,1,49738.26,5874.45,12367.09,5089.69,26930.5,49738.26
Cliente 346,18,Moderado,0.27,Baixa,ETF,16,1,43306.6,5274.75,17012.84,30736.0,3669.82,43306.6
Cliente 347,28,Agressivo,0.54,Média,ETF,51,1,31552.64,24015.3,27929.19,6994.83,9508.03,31552.64
Cliente 348,45,Conservador,0.73,Média,Renda Fixa,48,0,21532.63,32682.45,11271.84,15628.8,18884.27,21532.63
Cliente 349,74,Moderado,0.11,Baixa,Renda Variável,79,0,10886.41,12670.66,27614.22,14754.26,34074.45,10886.41
Cliente 350,42,Conservador,0.69,Média,Caixa,62,0,33456.93,33530.37,19118.05,5530.43,8364.22,33456.93
Cliente 351,67,Agressivo,0.09,Baixa,Renda Variável,43,0,7140.62,37882.89,13911.31,34893.87,6171.3,7140.62
Cliente 352,40,Conservador,0.97,Alta,Renda Variável,167,1,9324.98,49669.3,11748.2,23930.45,5327.07,9324.98
Cliente 353,48,Agressivo,0.49,Média,Multimercado,83,1,9857.19,1478.2,29328.32,26869.44,32466.85,9857.19
Cliente 354,47,Moderado,0.15,Baixa,ETF,161,1,42555.53,14957.38,10530.49,15090.54,16866.05,42555.53
Cliente 355,59,Agressivo,0.34,Baixa,ETF,116,0,10140.41,26685.68,1809.65,58119.18,3245.08,10140.41
Cliente 356,52,Agressivo,0.41,Média,Caixa,47,0,47203.14,5270.28,20074.24,21710.22,5742.11,47203.14
Cliente 357,24,Agressivo,0.76,Alta,Caixa,8,0,30266.47,46425.37,4953.04,13889.51,4465.61,30266.47
Cliente 358,77,Agressivo,0.74,Média,Multimercado,124,0,41082.82,3435.63,7656.5,16558.31,31266.73,41082.82
Cliente 359,33,Moderado,0.61,Média,Multimercado,168,1,4470.21,16800.06,14150.33,54735.06,9844.33,4470.21
Cliente 360,43,Moderado,0.11,Baixa,Renda Variável,169,0,24615.06,38354.16,3830.13,10681.85,22518.8,24615.06
Cliente 361,65,Conservador,0.15,Baixa,Renda Variável,80,1,2298.25,21316.15,21576.05,39652.54,15157.0,2298.25
Cliente 362,74,Conservador,0.09,Baixa,Renda Fixa,1,1,22462.95,21813.08,5192.07,26753.18,23778.72,22462.95
Cliente 363,69,Moderado,0.58,Média,Renda Variável,105,1,7935.07,8742.56,3907.81,34703.77,44710.79,7935.07
Cliente 364,77,Moderado,0.88,Alta,Renda Variável,86,0,2531.51,12155.28,33337.14,23844.23,28131.83,2531.51
Cliente 365,66,Moderado,0.43,Média,Multimercado,118,1,6544.02,5849.9,22225.27,31194.54,34186.26,6544.02
Cliente 366,19,Moderado,0.16,Baixa,Caixa,69,0,3057.9,413.64,27566.88,46229.95,22731.63,3057.9
Cliente 367,18,Agressivo,0.56,Média,Renda Variável,95,1,30806.84,7338.64,13587.59,14329.19,33937.74,30806.84
Cliente 368,65,Moderado,0.81,Alta,Multimercado,24,0,2349.08,10072.47,7966.18,25824.71,53787.56,2349.08
Cliente 369,79,Agressivo,0.74,Média,Renda Fixa,1,1,28920.17,35758.9,11723.19,12603.01,10994.73,28920.17
Cliente 370,29,Agressivo,0.88,Alta,Multimercado,109,1,10727.25,2675.47,12613.16,24207.88,49776.25,10727.25
Cliente 371,22,Agressivo,0.28,Baixa,ETF,163,0,57999.57,15112.54,4494.41,18215.9,4177.58,57999.57
Cliente 372,54,Moderado,0.19,Baixa,ETF,22,0,14959.48,22587.55,29686.23,8258.99,24507.75,14959.48
Cliente 373,49,Agressivo,0.88,Alta,Renda Fixa,111,0,16529.01,8233.71,9516.9,64281.67,1438.7,16529.01
Cliente 374,76,Agressivo,0.66,Média,Multimercado,75,1,45242.36,11234.68,4123.67,23852.57,15546.72,45242.36
Cliente 375,72,Agressivo,0.31,Baixa,Caixa,134,1,1726.24,335.76,68896.96,9832.85,19208.18,1726.24
Cliente 376,26,Conservador,0.74,Média,Caixa,140,0,30248.53,35548.76,7926.53,669.52,25606.66,30248.53
Cliente 377,58,Moderado,0.82,Alta,Renda Variável,159,0,46091.2,5269.87,31406.76,7833.84,9398.33,46091.2
Cliente 378,52,Moderado,0.61,Média,Multimercado,164,0,8908.85,12464.73,7080.66,49170.07,22375.7,8908.85
Cliente 379,36,Conservador,0.69,Média,ETF,143,1,4190.01,7051.41,11291.44,2860.01,74607.13,4190.01
Cliente 380,65,Moderado,0.38,Baixa,Renda Variável,89,0,1204.26,50372.92,19050.15,28642.88,729.78,1204.26
Cliente 381,33,Agressivo,0.54,Média,Renda Variável,55,0,38365.17,13692.23,1452.61,26828.38,19661.61,38365.17
Cliente 382,20,Agressivo,0.52,Média,ETF,41,1,13700.8,1741.78,33246.63,16893.66,34417.12,13700.8
Cliente 383,37,Conservador,0.85,Alta,Multimercado,170,0,43937.53,5343.33,6691.89,20001.0,24026.25,43937.53
Cliente 384,41,Agressivo,0.84,Alta,Renda Variável,94,1,13751.57,16237.92,22455.1,30787.85,16767.56,13751.57
Cliente 385,71,Moderado,0.83,Alta,Renda Fixa,60,0,44139.21,2143.37,18423.14,23131.14,12163.14,44139.21
Cliente 386,73,Agressivo,0.01,Baixa,Renda Variável,92,0,27126.89,3829.68,56709.06,4745.23,7589.14,27126.89
Cliente 387,50,Agressivo,0.75,Média,Multimercado,0,0,7256.44,3965.74,7697.68,9556.72,71523.42,7256.44
Cliente 388,41,Moderado,0.76,Alta,Multimercado,48,1,12021.56,15219.11,1757.14,42980.25,28021.93,12021.56
Cliente 389,69,Moderado,0.68,Média,Multimercado,48,1,17236.7,26815.66,13338.08,29632.35,12977.2,17236.7
Cliente 390,28,Agressivo,0.76,Alta,ETF,97,0,8847.19,3340.09,37958.75,16861.51,32992.46,8847.19
Cliente 391,66,Moderado,0.84,Alta,Renda Variável,157,1,24545.48,29575.15,15520.44,10719.06,19639.87,24545.48
Cliente 392,25,Conservador,0.47,Média,Renda Variável,54,0,5116.34,13000.79,10739.21,18314.25,52829.42,5116.34
Cliente 393,53,Agressivo,0.5,Média,Renda Variável,15,0,15004.08,9929.56,38656.63,4196.39,32213.34,15004.08
Cliente 394,55,Moderado,0.12,Baixa,Renda Variável,99,1,18910.63,10174.71,13839.36,36232.84,20842.46,18910.63
Cliente 395,57,Agressivo,0.39,Baixa,Multimercado,68,0,13500.17,50533.78,21288.46,8612.79,6064.79,13500.17
Cliente 396,37,Moderado,0.64,Média,ETF,127,0,7587.96,54534.47,8168.48,2428.66,27280.43,7587.96
Cliente 397,79,Agressivo,0.78,Alta,Renda Fixa,8,0,22040.0,11191.08,2020.94,49410.37,15337.61,22040.0
Cliente 398,52,Conservador,0.22,Baixa,ETF,49,0,14894.16,39666.82,3845.07,16794.58,24799.36,14894.16
Cliente 399,65,Agressivo,0.14,Baixa,Renda Variável,9,0,55453.43,1524.14,12073.28,10789.2,20159.96,55453.43
Cliente 400,79,Agressivo,0.66,Média,Renda Variável,147,1,31114.55,25977.63,26685.99,4866.9,11354.93,31114.55
Cliente 401,42,Conservador,0.0,Baixa,Caixa,18,1,6816.92,6706.88,65511.41,3163.63,17801.16,6816.92
Cliente 402,52,Moderado,0.18,Baixa,Renda Fixa,126,0,12036.98,25040.46,17968.93,34851.35,10102.29,12036.98
Cliente 403,42,Agressivo,0.03,Baixa,ETF,116,0,19565.97,38683.46,16218.51,20604.72,4927.34,19565.97
Cliente 404,46,Moderado,0.17,Baixa,Multimercado,41,0,16495.44,6178.98,22903.05,14219.19,40203.34,16495.44
Cliente 405,35,Conservador,0.18,Baixa,Renda Fixa,68,0,41254.86,26948.39,499.64,10410.07,20887.03,41254.86
Cliente 406,63,Moderado,0.39,Baixa,Renda Variável,152,0,1332.9,26377.8,40767.45,3529.57,27992.28,1332.9
Cliente 407,35,Moderado,0.4,Baixa,Caixa,145,1,4542.93,2466.53,77320.12,2524.19,13146.23,4542.93
Cliente 408,19,Agressivo,0.87,Alta,Renda Fixa,128,0,2424.36,60115.2,12259.58,6013.75,19187.1,2424.36
Cliente 409,71,Moderado,0.51,Média,ETF,108,1,49173.94,2002.45,18678.43,2244.74,27900.45,49173.94
Cliente 410,52,Moderado,0.72,Média,Renda Variável,85,1,4778.21,37695.79,6403.03,42822.31,8300.65,4778.21
Cliente 411,33,Conservador,0.1,Baixa,Multimercado,171,1,32718.41,29592.85,1317.64,19496.92,16874.18,32718.41
Cliente 412,78,Moderado,0.23,Baixa,Renda Fixa,178,0,18468.43,26389.52,38182.18,14033.97,2925.91,18468.43
Cliente 413,58,Moderado,0.7,Média,Renda Variável,149,0,7961.95,16314.81,14726.1,23913.9,37083.24,7961.95
Cliente 414,53,Conservador,0.05,Baixa,Renda Fixa,134,0,21748.35,14231.44,59405.74,2362.66,2251.81,21748.35
Cliente 415,50,Agressivo,0.49,Média,Multimercado,73,0,25287.23,860.24,51974.97,21758.08,119.48,25287.23
Cliente 416,21,Moderado,0.6,Média,Renda Variável,118,1,16490.98,11258.07,53647.15,3623.12,14980.69,16490.98
Cliente 417,50,Moderado,0.6,Média,Multimercado,100,1,41899.05,1506.12,20615.48,30591.8,5387.55,41899.05
Cliente 418,31,Agressivo,0.02,Baixa,Caixa,175,0,1595.2,8277.34,62045.09,25251.93,2830.45,1595.2
Cliente 419,38,Moderado,0.32,Baixa,ETF,68,1,10892.69,38660.15,31425.61,5361.26,13660.29,10892.69
Cliente 420,65,Agressivo,0.64,Média,ETF,2,1,60817.52,19751.21,3977.83,7410.18,8043.25,60817.52
Cliente 421,37,Moderado,0.15,Baixa,Caixa,67,1,40437.49,15864.96,4041.2,21858.18,17798.16,40437.49
Cliente 422,73,Conservador,0.7,Média,Renda Fixa,1,0,1607.32,47664.1,11402.33,29729.76,9596.48,1607.32
Cliente 423,25,Moderado,0.75,Média,ETF,66,0,12901.37,33033.48,5622.92,4253.05,44189.18,12901.37
Cliente 424,24,Moderado,0.98,Alta,Renda Fixa,11,0,529.95,16616.03,40519.83,23600.51,18733.67,529.95
Cliente 425,20,Agressivo,0.21,Baixa,ETF,119,0,6186.29,47511.44,3275.59,26845.4,16181.29,6186.29
Cliente 426,34,Conservador,0.83,Alta,ETF,30,0,29507.59,17195.29,30155.94,4504.87,18636.31,29507.59
Cliente 427,50,Conservador,0.52,Média,Multimercado,177,1,22054.14,12446.96,7336.81,55384.99,2777.1,22054.14
Cliente 428,65,Conservador,0.37,Baixa,ETF,69,1,18501.22,9382.14,2152.14,39532.43,30432.07,18501.22
Cliente 429,29,Conservador,0.12,Baixa,Caixa,48,1,29658.92,27222.35,24087.17,1996.26,17035.3,29658.92
Cliente 430,76,Agressivo,0.74,Média,Caixa,63,1,2191.09,7587.88,40414.45,7131.85,42674.73,2191.09
Cliente 431,68,Conservador,0.24,Baixa,ETF,97,1,1330.17,3761.14,6906.59,84963.27,3038.83,1330.17
Cliente 432,39,Moderado,0.37,Baixa,Caixa,147,1,11129.75,14449.1,21387.57,6046.28,46987.3,11129.75
Cliente 433,72,Moderado,0.06,Baixa,Caixa,37,0,18287.09,32016.1,11790.24,30191.33,7715.24,18287.09
Cliente 434,39,Moderado,0.8,Alta,Renda Fixa,63,0,1713.06,41113.48,13528.99,25859.54,17784.93,1713.06
Cliente 435,63,Agressivo,0.77,Alta,Caixa,115,0,31798.25,39910.14,3821.75,11728.48,12741.38,31798.25
Cliente 436,47,Moderado,0.73,Média,Multimercado,90,1,45908.23,312.42,14936.69,16178.39,22664.27,45908.23
Cliente 437,55,Agressivo,0.3,Baixa,Renda Fixa,24,0,21030.76,34540.18,20810.06,20868.57,2750.43,21030.76
Cliente 438,55,Moderado,0.17,Baixa,Multimercado,68,0,30008.2,14353.2,1011.9,11166.42,43460.29,30008.2
Cliente 439,62,Moderado,0.64,Média,Caixa,48,0,7145.28,10650.82,12111.67,50487.63,19604.6,7145.28
Cliente 440,68,Agressivo,0.5,Média,Caixa,89,1,18273.62,57275.43,7109.64,10350.1,6991.21,18273.62
Cliente 441,71,Conservador,0.18,Baixa,Caixa,2,1,5268.69,17856.66,2863.34,20463.58,53547.73,5268.69
Cliente 442,25,Conservador,0.69,Média,ETF,165,1,17459.56,10790.58,30919.83,34986.49,5843.53,17459.56
Cliente 443,44,Agressivo,0.99,Alta,Caixa,63,1,5541.47,5580.27,10878.34,36303.14,41696.78,5541.47
Cliente 444,44,Conservador,0.75,Média,Multimercado,45,0,873.62,1877.58,42295.25,30013.65,24939.91,873.62
Cliente 445,51,Agressivo,0.74,Média,Renda Variável,83,0,27047.32,19322.79,14477.7,16890.49,22261.7,27047.32
